batting_team,bowling_team,city,target_score,current_score,balls_left,wickets_left,crr,rrr,toss_winner,toss_decision,powerplay,recent_performance,result
Mumbai Indians,Chennai Super Kings,Hyderabad,191,179,8,3,9.59,9.0,Mumbai Indians,bat,0,63,1
Royal Challengers Bangalore,Mumbai Indians,Ahmedabad,222,80,82,8,12.63,10.39,Royal Challengers Bangalore,field,0,60,1
Chennai Super Kings,Lucknow Super Giants,Chennai,163,139,34,6,9.7,4.24,Chennai Super Kings,bat,0,54,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,177,35,90,7,7.0,9.47,Gujarat Titans,field,1,35,1
Kolkata Knight Riders,Punjab Kings,Lucknow,197,104,45,2,8.32,12.4,Punjab Kings,bat,0,52,1
Royal Challengers Bangalore,Delhi Capitals,Jaipur,219,100,70,5,12.0,10.2,Delhi Capitals,bat,0,27,1
Kolkata Knight Riders,Rajasthan Royals,Chennai,190,103,31,2,6.94,16.84,Kolkata Knight Riders,field,0,28,0
Mumbai Indians,Rajasthan Royals,Jaipur,228,193,6,9,10.16,35.0,Rajasthan Royals,bat,0,50,0
Punjab Kings,Gujarat Titans,Chennai,192,73,71,7,8.94,10.06,Gujarat Titans,bat,0,31,1
Gujarat Titans,Sunrisers Hyderabad,Lucknow,183,128,47,8,10.52,7.02,Sunrisers Hyderabad,bat,0,60,1
Mumbai Indians,Chennai Super Kings,Kolkata,189,125,33,9,8.62,11.64,Chennai Super Kings,bat,0,28,1
Kolkata Knight Riders,Mumbai Indians,Delhi,193,57,87,9,10.36,9.38,Mumbai Indians,field,1,57,1
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,213,188,12,3,10.44,12.5,Royal Challengers Bangalore,bat,0,64,0
Sunrisers Hyderabad,Mumbai Indians,Lucknow,219,171,26,6,10.91,11.08,Sunrisers Hyderabad,bat,0,49,1
Royal Challengers Bangalore,Punjab Kings,Delhi,199,108,43,2,8.42,12.7,Punjab Kings,bat,0,25,0
Rajasthan Royals,Chennai Super Kings,Kolkata,210,93,54,10,8.45,13.0,Rajasthan Royals,field,0,48,1
Delhi Capitals,Sunrisers Hyderabad,Chennai,202,179,20,10,10.74,6.9,Delhi Capitals,field,0,59,1
Kolkata Knight Riders,Punjab Kings,Delhi,172,104,38,1,7.61,10.74,Punjab Kings,bat,0,52,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Kolkata,212,110,36,9,7.86,17.0,Royal Challengers Bangalore,field,0,47,1
Lucknow Super Giants,Delhi Capitals,Jaipur,201,97,62,8,10.03,10.06,Lucknow Super Giants,bat,0,46,1
Gujarat Titans,Punjab Kings,Chennai,174,121,50,6,10.37,6.36,Gujarat Titans,bat,0,27,1
Royal Challengers Bangalore,Lucknow Super Giants,Delhi,140,117,27,4,7.55,5.11,Royal Challengers Bangalore,field,0,63,1
Delhi Capitals,Punjab Kings,Ahmedabad,166,74,45,8,5.92,12.27,Punjab Kings,bat,0,63,1
Mumbai Indians,Gujarat Titans,Hyderabad,191,145,41,7,11.01,6.73,Gujarat Titans,bat,0,47,1
Sunrisers Hyderabad,Delhi Capitals,Bangalore,154,144,24,7,9.0,2.5,Delhi Capitals,bat,0,31,1
Sunrisers Hyderabad,Gujarat Titans,Bangalore,198,151,30,9,10.07,9.4,Sunrisers Hyderabad,field,0,30,1
Gujarat Titans,Kolkata Knight Riders,Bangalore,167,159,20,7,9.54,2.4,Kolkata Knight Riders,bat,0,35,1
Gujarat Titans,Lucknow Super Giants,Mumbai,228,91,63,10,9.58,13.05,Lucknow Super Giants,field,0,51,1
Chennai Super Kings,Mumbai Indians,Jaipur,201,56,90,10,11.2,9.67,Mumbai Indians,bat,1,56,1
Chennai Super Kings,Kolkata Knight Riders,Lucknow,209,122,46,2,9.89,11.35,Chennai Super Kings,bat,0,57,0
Punjab Kings,Mumbai Indians,Ahmedabad,183,67,69,8,7.88,10.09,Punjab Kings,bat,0,56,1
Punjab Kings,Gujarat Titans,Bangalore,227,126,29,10,8.31,20.9,Gujarat Titans,field,0,36,1
Kolkata Knight Riders,Gujarat Titans,Kolkata,178,84,47,10,6.9,12.0,Gujarat Titans,field,0,41,1
Rajasthan Royals,Punjab Kings,Ahmedabad,198,123,38,9,9.0,11.84,Punjab Kings,bat,0,47,1
Kolkata Knight Riders,Lucknow Super Giants,Chennai,140,57,69,9,6.71,7.22,Lucknow Super Giants,bat,0,50,1
Lucknow Super Giants,Gujarat Titans,Kolkata,171,115,42,4,8.85,8.0,Lucknow Super Giants,bat,0,35,1
Mumbai Indians,Chennai Super Kings,Kolkata,195,72,70,5,8.64,10.54,Mumbai Indians,bat,0,58,1
Rajasthan Royals,Mumbai Indians,Ahmedabad,209,84,56,4,7.88,13.39,Rajasthan Royals,field,0,57,0
Punjab Kings,Kolkata Knight Riders,Ahmedabad,198,86,74,6,11.22,9.08,Punjab Kings,field,0,60,1
Kolkata Knight Riders,Punjab Kings,Delhi,158,105,29,8,6.92,10.97,Kolkata Knight Riders,bat,0,31,1
Mumbai Indians,Delhi Capitals,Jaipur,191,158,9,3,8.54,22.0,Delhi Capitals,field,0,42,0
Punjab Kings,Chennai Super Kings,Chennai,140,78,32,2,5.32,11.62,Punjab Kings,field,0,47,0
Rajasthan Royals,Mumbai Indians,Kolkata,170,122,14,8,6.91,20.57,Rajasthan Royals,bat,0,40,1
Gujarat Titans,Punjab Kings,Bangalore,199,65,68,10,7.5,11.82,Punjab Kings,bat,0,36,1
Sunrisers Hyderabad,Punjab Kings,Kolkata,208,163,12,4,9.06,22.5,Sunrisers Hyderabad,field,0,59,0
Gujarat Titans,Mumbai Indians,Mumbai,158,138,27,8,8.9,4.44,Gujarat Titans,bat,0,57,1
Kolkata Knight Riders,Royal Challengers Bangalore,Delhi,163,110,17,10,6.41,18.71,Royal Challengers Bangalore,field,0,62,1
Kolkata Knight Riders,Delhi Capitals,Mumbai,223,154,40,2,11.55,10.35,Kolkata Knight Riders,field,0,53,1
Chennai Super Kings,Delhi Capitals,Hyderabad,221,136,48,8,11.33,10.62,Delhi Capitals,field,0,60,1
Delhi Capitals,Gujarat Titans,Chandigarh,172,39,89,9,7.55,8.97,Delhi Capitals,bat,1,39,1
Sunrisers Hyderabad,Kolkata Knight Riders,Mumbai,147,108,17,10,6.29,13.76,Sunrisers Hyderabad,field,0,36,1
Chennai Super Kings,Lucknow Super Giants,Lucknow,198,84,59,4,8.26,11.59,Lucknow Super Giants,bat,0,54,1
Chennai Super Kings,Gujarat Titans,Chennai,190,148,13,9,8.3,19.38,Chennai Super Kings,bat,0,57,1
Lucknow Super Giants,Mumbai Indians,Kolkata,167,97,32,10,6.61,13.12,Mumbai Indians,bat,0,43,1
Lucknow Super Giants,Kolkata Knight Riders,Lucknow,143,27,88,10,5.06,7.91,Lucknow Super Giants,bat,1,27,1
Delhi Capitals,Gujarat Titans,Jaipur,169,168,8,6,9.0,0.75,Gujarat Titans,bat,0,61,1
Rajasthan Royals,Kolkata Knight Riders,Hyderabad,163,94,62,5,9.72,6.68,Kolkata Knight Riders,bat,0,59,1
Sunrisers Hyderabad,Punjab Kings,Jaipur,199,137,16,6,7.9,23.25,Sunrisers Hyderabad,bat,0,57,0
Punjab Kings,Mumbai Indians,Chennai,206,69,75,10,9.2,10.96,Punjab Kings,field,0,27,1
Royal Challengers Bangalore,Rajasthan Royals,Chennai,185,48,82,9,7.58,10.02,Royal Challengers Bangalore,field,0,26,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Chandigarh,229,138,26,10,8.81,21.0,Royal Challengers Bangalore,bat,0,63,1
Gujarat Titans,Sunrisers Hyderabad,Chennai,181,125,20,8,7.5,16.8,Gujarat Titans,field,0,48,1
Mumbai Indians,Lucknow Super Giants,Ahmedabad,152,47,83,10,7.62,7.59,Mumbai Indians,field,0,44,1
Sunrisers Hyderabad,Kolkata Knight Riders,Jaipur,204,69,84,7,11.5,9.64,Sunrisers Hyderabad,field,0,39,1
Gujarat Titans,Punjab Kings,Hyderabad,205,83,52,4,7.32,14.08,Gujarat Titans,bat,0,49,1
Delhi Capitals,Sunrisers Hyderabad,Mumbai,202,193,5,5,10.07,10.8,Delhi Capitals,field,0,46,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,188,44,87,9,8.0,9.93,Sunrisers Hyderabad,field,1,44,1
Gujarat Titans,Chennai Super Kings,Chennai,147,110,23,6,6.8,9.65,Gujarat Titans,bat,0,30,1
